"region","label","func_group","label_name","merged_label","merged_name","description_examples"
"Southeast Asia","SINV_HYD","Other Invertebrates","Hydroids feathery types","OTH-SINV","Sessile invertebrates","Other sesile invertebrates: bryozoa; clams; tunicates (ascidians); soft hexacorrallia; hydroids"
"Southeast Asia","SINV_OTH","Other Invertebrates","Other sesile invertebrates Bryozoa clams","OTH-SINV","Sessile invertebrates","Other sesile invertebrates: bryozoa; clams; tunicates (ascidians); soft hexacorrallia; hydroids"
"Southeast Asia","SINV_SFC_A","Soft Coral","Common LRG Alcyoniide","ALC-SF","Alcyoniidae","Soft coral family Alcyoniidae; genera Lobophytum and Sarcophyton"
"Southeast Asia","SINV_SFC_E","Soft Coral","Sea fans/plumes/branching whipes","SINV_SFC_E","Sea fans; plumes and whips","Sea fans; whips; plumes"
"Southeast Asia","SINV_SFC_O","Soft Coral","Other soft-corals no common Alcyoniidae","OTH-SF","Other soft corals","Other soft-corals outside of the common Alcyoniidae and erect forms (sea fans plumes whips): e.g. Xeniidae; Nepthtydae; Tubipora; Briareum; Heliopora"
"Southeast Asia","SINV_SPO_E","Other Invertebrates","Sponges: Branching/rope forms","SpRope","Rope sponge","Height >> basal area; Spread along the substrate"
"Southeast Asia","SINV_SPO_F","Other Invertebrates","Sponges: Fan shaped forms","SpOTH","Other sponge","Other sponges; undefined to species/morphology (outside massive/encrusting/rope/tube morphologies)"
"Southeast Asia","SINV_SPO_M","Other Invertebrates","Massive or encrusting sponges","SpMass","Massive sponge","Massive or encrusting sponges"
"Southeast Asia","SINV_SPO_V","Other Invertebrates","Sponges: Hollow sponge forms/cups/barrels/tub","SpTube","Tube sponge","Tube species: tube opening ~ height; basal area < opening"
"Southeast Asia","SINV_TUN","Other Invertebrates","Individual Tunicates","OTH-SINV","Sessile invertebrates","Other sesile invertebrates: bryozoa; clams; tunicates (ascidians); soft hexacorrallia; hydroids"
"Southeast Asia","TFP_RDG_Al","Hard Coral","TFP: Visible Relief Structures","FOLI","Foliose corals","Thin Foliose and Plate colonies (excluding genera Acropora Porites) with/without  visible relief structure: e.g. Echinophyllia; Turbinaria; Montipora; Echinopora"
"Southeast Asia","TFP_RND_Al","Hard Coral","TFP: Visible Round Corallites","FOLI","Foliose corals","Thin Foliose and Plate colonies (excluding genera Acropora Porites) with/without  visible relief structure: e.g. Echinophyllia; Turbinaria; Montipora; Echinopora"
"Southeast Asia","TFP_SMO_Po","Hard Coral","TFP: Porites","POR-ENC","Encrusting Poritidae","Family Poritidae; encrusting morphology e.g.  P. lichen"
"Southeast Asia","TSH","Other","Trash: Human Origin","OTHER","Other","Other including fish; trash; transect hardware; unknown"
"Southeast Asia","Unc","Algae","Unclear","EAM","Epilithic Algal Matrix","Multi-specific algal assemblage smothering reef surface 1 cm or less in height"
"Southeast Asia","Unk","Other","Unknown","OTHER","Other","Other including fish; trash; transect hardware; unknown"
"Pacific Hawaii","CCA","Algae","Crustose Coralline Algae","CCA","Crustose Coraline Algae","Crustose Coralline Algae"
"Pacific Hawaii","EAM_DHC","Algae","EAM: Dead Hard Coral","EAM","Epilithic Algal Matrix","Multi-specific algal assemblage smothering reef surface 1 cm or less in height"
"Pacific Hawaii","MALGAE","Algae","Macrolagae all genera","MALG","Macroalgae","Upright macroalgae > 1 cm in height  (all genera and species)"
"Pacific Hawaii","Unc","Algae","Unclear","EAM","Epilithic Algal Matrix","Multi-specific algal assemblage smothering reef surface 1 cm or less in height"
"Pacific Hawaii","B_Monti","Hard Coral","Bleached Montipora","MONT","Montipora spp","Montipora species"
"Pacific Hawaii","Blpocill","Hard Coral","Bleached Pocillopora","POCI","Pocilloporidae","Family Pocilloporidae; all genera and species"
"Pacific Hawaii","Lepto","Hard Coral","Leptoseris","OTH-HC","Other hard corals","Other hard coral genera/species from Faviidae Siderastreidae Agariciidae: Psammocora; Leptastrea; Cyphastrea; Coscinaraea; Pavona duerdeni; P. maldivensis; P.  Varians; P. Leptoseris"
"Pacific Hawaii","MFLAB","Hard Coral","Montipora flabellata","MONT","Montipora spp","Montipora species"
"Pacific Hawaii","MON_Cap_br","Hard Coral","Montipora capitata  morpho 2 branching","MONT","Montipora spp","Montipora species"
"Pacific Hawaii","MON_Cap_pl","Hard Coral","Montipora capitata morpho 1 plate","MONT","Montipora spp","Montipora species"
"Pacific Hawaii","MPATU","Hard Coral","Montipora patula","MONT","Montipora spp","Montipora species"
"Pacific Hawaii","PAV_Due","Hard Coral","Pavona duerdeni","OTH-HC","Other hard corals","Other hard coral genera/species from Faviidae Siderastreidae Agariciidae: Psammocora; Leptastrea; Cyphastrea; Coscinaraea; Pavona duerdeni; P. maldivensis; P.  Varians; P. Leptoseris"
"Pacific Hawaii","PEYDO","Hard Coral","Pocillopora eydouxi","POCI","Pocilloporidae","Family Pocilloporidae; all genera and species"
"Pacific Hawaii","POCI_CAU","Hard Coral","Pocillopora meandrina/ligulata","POCI","Pocilloporidae","Family Pocilloporidae; all genera and species"
"Pacific Hawaii","POR_Com_fi","Hard Coral","Porties compressa mopho 1 fingres","PCOM","P. compressa","Porites compressa"
"Pacific Hawaii","POR_Com_fu","Hard Coral","Porites compressa morpho 2 fused branches","PCOM","P. compressa","Porites compressa"
"Pacific Hawaii","POR_EP_B","Hard Coral","Bleached Plate-encrusting Porites","POR_OTH","Porites spp","Porites other; nodular ; encrusting; all other Porites not represented by the other Porites categories in Hawaii"
"Pacific Hawaii","POR_NOD","Hard Coral","Porites nodular branches","POR_OTH","Porites spp","Porites other; nodular ; encrusting; all other Porites not represented by the other Porites categories in Hawaii"
"Pacific Hawaii","POR_OTH_EP","Hard Coral","Porites rus/monticulosa","POR-RUS/MON","Porites rus/monticulosa","Porites rus/monticulosa"
"Pacific Hawaii","POR-MASS","Hard Coral","Porites lobata/lutea","POR-MASS","Massive Poritidae","Family Poritidae; massive/sub-massive morphology e.g. P. lobata; P. lutea"
"Pacific Hawaii","POR-MASS-B","Hard Coral","Bleached Porites lobata/lutea","POR-MASS","Massive Poritidae","Family Poritidae; massive/sub-massive morphology e.g. P. lobata; P. lutea"
"Pacific Hawaii","PVAR","Hard Coral","Pavona varians","OTH-HC","Other hard corals","Other hard coral genera/species from Faviidae Siderastreidae Agariciidae: Psammocora; Leptastrea; Cyphastrea; Coscinaraea; Pavona duerdeni; P. maldivensis; P.  Varians; P. Leptoseris"
"Pacific Hawaii","FISH","Other","Fish","OTHER","Other","Other including fish; trash; transect hardware; unknown"
"Pacific Hawaii","LSUB_SAND","Other","Sand. Unconsolidated reef sediment","Sand","Sand","Sand. Unconsolidated reef sediment"
"Pacific Hawaii","LSUB_SEDI","Other","Terrigenous sediments","Sediment","Sediment other","Terrigenous sediments"
"Pacific Hawaii","LSUB_VOL","Other","Volcanic sediment","Sediment","Sediment other","Terrigenous sediments"
"Pacific Hawaii","Other","Other","Other","OTHER","Other","Other including fish; trash; transect hardware; unknown"
"Pacific Hawaii","Unk","Other","Unknown","OTHER","Other","Other including fish; trash; transect hardware; unknown"
"Pacific Hawaii","MINV_Dia","Other Invertebrates","Diadema/Ehinothix","MINV_OTH","Mobile invertebrates","Other mobile invertebrates: i.e Echinoderms; lobster"
"Pacific Hawaii","MINV_Ech","Other Invertebrates","Echinometra","MINV_OTH","Mobile invertebrates","Other mobile invertebrates: i.e Echinoderms; lobster"
"Pacific Hawaii","MINV_Tri","Other Invertebrates","Tripneustes","MINV_OTH","Mobile invertebrates","Other mobile invertebrates: i.e Echinoderms; lobster"
"Pacific Hawaii","SINV_HEX_O","Other Invertebrates","Other sesile invertebrates soft hexacorrallia","OTH-SINV","Sessile invertebrates","Other sesile invertebrates: bryozoa; clams; tunicates (ascidians); soft hexacorrallia; hydroids"
"Pacific Hawaii","SINV_SPO_M","Other Invertebrates","Massive or encrusting sponges","OTH-SINV","Sessile invertebrates","Other sesile invertebrates: bryozoa; clams; tunicates (ascidians); soft hexacorrallia; hydroids"
